title,genre,producer,country,country_duble,year,year_duble,imdb
,,"([],)",,,,,
Багажник,Жанры игрового кино,"(['Винтер, Донован (страница отсутствует)'],)",,,,1961,https://www.imdb.com/title/tt0181086/
Бабье царство,"Жанры игрового кино,Война,Драма (жанр)","(['Салтыков, Алексей Александрович'],)",СССР,,,1967,https://www.imdb.com/title/tt0174482/
Бабы рязанские,"Жанры игрового кино,Драма (жанр)","(['Преображенская, Ольга Ивановна', 'Правов, Иван Константинович'],)",СССР,,,1927,https://www.imdb.com/title/tt0017653/
Бабы,"Жанры игрового кино,Драма (жанр)","(['Баталов, Владимир Петрович'],)",,Союз Советских Социалистических Республик,,1940,https://www.imdb.com/title/tt0265059/
,,"([],)",,,,,
Бабушкина лупа,"Жанры игрового кино,Короткометражка","(['Смит, Джордж Альберт'],)",Великобритания,,,1900,https://www.imdb.com/title/tt0000304/
Бабушкин дом,"Жанры игрового кино,Ужасы,Триллер","([],)",США,,,1988,https://www.imdb.com/title/tt0097455/
Бабушкин внук,"Жанры игрового кино,Киноповесть,Семейный фильм,Драма (жанр)","(['Бергункер, Адольф Соломонович'],)",СССР,,,1979,https://www.imdb.com/title/tt0078818/
Бабушки надвое сказали…,"Жанры игрового кино,Кинокомедия,Музыкальный фильм","(['Харченко, Валерий Николаевич', 'Юрий Клебанов (страница отсутствует)'],)",СССР,,,,https://www.imdb.com/title/tt0078817/
Бабушки и внучата,"Жанры игрового кино,Драма (жанр)","(['Мчедлидзе, Нана Бидзиновна'],)",СССР,,,1969,https://www.imdb.com/title/tt0275306/
Бабушка-генерал,"Жанры игрового кино,Драма (жанр)","(['Абзалов, Мелис Арипович'],)",СССР,,,1982,https://www.imdb.com/title/tt2807620/
Бабушка лёгкого поведения 2. Престарелые мстители,"Жанры игрового кино,Комедия","(['Вайсберг, Марюс'],)",Россия,,,2019,https://www.imdb.com/title/tt9450542/
Бабушка лёгкого поведения,"Жанры игрового кино,Комедия","(['Вайсберг, Марюс'],)",Россия,,,2017,https://www.imdb.com/title/tt6823698/
Бабушка для всех,"Жанры игрового кино,Музыкальный фильм","(['Двалишвили, Нана (страница отсутствует)'],)",СССР,,,1987,https://www.imdb.com/title/tt0821758/
Бабушка,"Жанры игрового кино,Фильм ужасов","(['Пласа, Пако'],)","Испания,Франция",,,2021,https://www.imdb.com/title/tt11807888/
Бабушка,"Жанры игрового кино,Комедия-драма","([],)",США,,,2015,https://www.imdb.com/title/tt4270516/
Бабушка,"Жанры игрового кино,Драма (жанр)","([],)",,Чехословакия,1971,,https://www.imdb.com/title/tt0138310/
Бабушка,"Жанры игрового кино,Драма (жанр)","(['Франтишек Чап'],)",Протекторат Богемии и Моравии,,,1940,https://www.imdb.com/title/tt0032230/
Бабуся,"Жанры игрового кино,Драма (жанр)","(['Боброва, Лидия Алексеевна'],)",Россия,,,2003,https://www.imdb.com/title/tt0349116/
Бабочки-убийцы,"Жанры игрового кино,Боевик (киножанр),Фильм ужасов,Мистика","(['Цуй Харк'],)",Гонконг,,,1979,https://www.imdb.com/title/tt0079051/
Бабочки свободны,"Жанры игрового кино,Комедия,Драма (жанр)","([],)",США,,,1972,https://www.imdb.com/title/tt0068326/
Бабочки в животе,"Жанры игрового кино,Драматический фильм","([],)","Канада,Ирландия",,2019,,https://www.imdb.com/title/tt6489562/
Бабочки,"Жанры игрового кино,Детектив,Драма,Мелодрама,Триллер","(['Малюков, Андрей Игоревич'],)","СССР,Польша",,,1991,https://www.imdb.com/title/tt0235205/
Бабочка,"Жанры игрового кино,Драматический фильм,d:Q20442589","([],)",,Аргентина,2015,,https://www.imdb.com/title/tt3919820/
Бабочка,"Жанры игрового кино,Драма (жанр)","(['Май Ваньсинь (страница отсутствует)'],)",Гонконг,,,2004,https://www.imdb.com/title/tt0440939/
Бабочка,"Жанры игрового кино,Кинокомедия","(['Ненова, Нинель Тодоровна', 'Цулая, Гено Ясонович'],)",СССР,,,1977,https://www.imdb.com/title/tt0282365/
Бабочки,"Жанры игрового кино,Семейный фильм,Мелодрама,Драма (жанр)","(['Насфетер, Януш'],)",Польша,,,1972,https://www.imdb.com/title/tt0374884/
Бабник,"Жанры игрового кино,Кинокомедия,Драма (жанр),Мелодрама","(['Маккензи, Дэвид'],)",США,,,2009,https://www.imdb.com/title/tt1186370/
Бабник,"Жанры игрового кино,Кинокомедия","(['Эйрамджан, Анатолий Николаевич'],)",СССР,,,1990,https://www.imdb.com/title/tt0099083/
А в душе я танцую,"Жанры игрового кино,Драма (жанр)","([""О'Доннелл, Дэмиен""],)","Великобритания,Ирландия,Франция",,2004,,https://www.imdb.com/title/tt0417791/
Абель,"Жанры игрового кино,Кинокомедия","(['Алекс ван Вармердам'],)",Нидерланды,,,1986,https://www.imdb.com/title/tt0090579/
"Абдулладжан, или Посвящается Стивену Спилбергу","Жанры игрового кино,Фантастический фильм,Комедия","(['Зульфикар Мусаков'],)",СССР,,,1991,https://www.imdb.com/title/tt0101263/
Аббатство Даунтон: Новая эра,"Жанры игрового кино,Историческая драма","([],)","Великобритания,США",,,2022,https://www.imdb.com/title/tt11703710/
Аббатство Даунтон,"Жанры игрового кино,Драма (жанр)","([],)",Великобритания,,,2019,https://www.imdb.com/title/tt6398184/
Аббат Шаолиня,"Жанры игрового кино,Боевик (киножанр),Приключенческий фильм","([],)",Гонконг,,,1979,https://www.imdb.com/title/tt0079892/
Абатуар. Лабиринт страха,"Жанры игрового кино,Фильм ужасов","(['Боусман, Даррен Линн'],)",США,,,2016,https://www.imdb.com/title/tt1480285/
Аафат,Жанры игрового кино,"([],)",,Индия,1977,,https://www.imdb.com/title/tt0395434/
Жанна Парижская,"Жанры игрового кино,Мелодрама,Драма (жанр),Военный фильм","(['Стивенсон, Роберт (режиссёр)'],)",США,,,1942,https://www.imdb.com/title/tt0034919/
Желаем успеха,Жанры игрового кино,"(['Анненский, Исидор Маркович'],)",СССР,,,,
Жду и надеюсь,"Жанры игрового кино,Драма (жанр)","(['Шахбазян, Сурен Вардкесович'],)",СССР,,,1980,https://www.imdb.com/title/tt2454220/
Ждите связного,Жанры игрового кино,"(['Коберидзе, Отар Леонтьевич'],)",СССР,,,1979,https://www.imdb.com/title/tt0280633/
Ждите писем,"Жанры игрового кино,Киноповесть","(['Карасик, Юлий Юрьевич'],)",СССР,,,1960,https://www.imdb.com/title/tt0173493/
К востоку на Бикон,"Жанры игрового кино,Фильм нуар,Шпионский боевик","(['Альфред Л. Веркер'],)",США,,,1952,https://www.imdb.com/title/tt0045309/
К вам пришёл ангел,"Жанры игрового кино,Мелодрама","(['Глинский, Николай Викторович (страница отсутствует)'],)",Россия,,,2004,https://www.imdb.com/title/tt3303440/
К бою готовы,"Жанры игрового кино,Бадди-муви,Кинокомедия","([],)",,Соединённые Штаты Америки,2000,,https://www.imdb.com/title/tt0217756/
,,"([],)",,,,,
,,"([],)",,,,,
,,"([],)",,,,,
,,"([],)",,,,,
Радуга,"Жанры игрового кино,Военная драма","(['Донской, Марк Семёнович'],)",СССР,,,1943,https://www.imdb.com/title/tt0037205/
Радость секса,"Жанры игрового кино,Романтическая кинокомедия","(['Кулидж, Марта'],)",,,,1984,https://www.imdb.com/title/tt0087513/
Радостный шум,"Жанры игрового кино,Драматический фильм,Кинокомедия,Музыкальный фильм","([],)",США,,,2012,https://www.imdb.com/title/tt1710396/
У богатой госпожи,"Жанры игрового кино,Драма (жанр)","(['Лейманис, Леонид Янович'],)",СССР,,,1969,https://www.imdb.com/title/tt2275909/
У Бога свои планы,"Жанры игрового кино,Драма (жанр),Мелодрама","(['Тюрин, Дмитрий Юрьевич'],)",Россия,,,2012,https://www.imdb.com/title/tt3697864/
У блондинок пушки круче,"Жанры игрового кино,Кинокомедия","(['Джордж Мерривезер (страница отсутствует)'],)",,,,1995,https://www.imdb.com/title/tt0112526/
Хаббл IMAX 3D,"Жанры игрового кино,Документальный фильм","(['Тони Майерс (страница отсутствует)'],)",Канада,,,2010,https://www.imdb.com/title/tt1433813/
Хабанера,"Жанры игрового кино,Драма (жанр)","(['Сирк, Дуглас'],)",Нацистская Германия,,,1937,https://www.imdb.com/title/tt0028974/
Ха-би-ассы,"Жанры игрового кино,Комедия,Приключения","(['Матешко, Анатолий Николаевич'],)",СССР,,,1990,https://www.imdb.com/title/tt0129131/
Х.Х. Холмс: Первый американский серийный убийца,Жанры игрового кино,"([],)",США,,,2004,https://www.imdb.com/title/tt0358500/
,,"([],)",,,,,
,,"([],)",,,,,
Хаос и творчество на Эбби-Роуд,"Жанры игрового кино,Музыкальный фильм","([],)",,,"Пол Маккартни,Найджел Годрич,Концерт для Кампучии","Joby Talbot,2006,[en]",https://www.imdb.com/title/tt0827732/
Юбилей Данте,"Жанры игрового кино,Драма (жанр),Мелодрама","(['Гюльбениз Азимзаде (страница отсутствует)', 'Анар'],)","СССР,Азербайджанская ССР",,,1978,https://www.imdb.com/title/tt1493313/
Юбилей,"Жанры игрового кино,Комедия (жанр)","(['Петров, Владимир Михайлович (режиссёр)'],)",СССР,,,,https://www.imdb.com/title/tt0037477/
Ю-571,"Жанры игрового кино,Военный фильм,Драма (жанр)","(['Мостоу, Джонатан'],)","Франция,США",,,2000,https://www.imdb.com/title/tt0141926/
Юный Фриц,"Жанры игрового кино,Сатира","(['Козинцев, Григорий Михайлович', 'Трауберг, Леонид Захарович'],)",СССР,,,1943,https://www.imdb.com/title/tt0319584/
