title,genre,producer,country,country_duble,year,year_duble,imdb
"Аборт: Истории, рассказанные женщинами","Жанры игрового кино,Документальное кино","([],)",,,2016,,7.2
Абориген,"Жанры игрового кино,Драматический фильм","(['Николаева, Елена Владиславовна'],)",СССР,,,1988,7.1
Абитуриентка,"Жанры игрового кино,Драматический фильм","(['Мишурин, Алексей Александрович'],)",СССР,,,,6.1
Абель,"Жанры игрового кино,Кинокомедия","(['Алекс ван Вармердам'],)",Нидерланды,,,1986,7.4
Абсолон,"Жанры игрового кино,Фантастический боевик (жанр) (страница отсутствует)","(['Дэвид Барто (страница отсутствует)'],)","Великобритания,Канада",,,2003,4.2
Абсолютная власть,"Жанры игрового кино,Драма (жанр),Триллер","(['Иствуд, Клинт'],)",США,,,1997,6.7
Абсолютная власть,"Жанры игрового кино,Драма (жанр),Триллер,Детектив","([],)",США,,,2016,6.5
Абрикосовые рощи,Жанры игрового кино,"(['Пуриа Хейдари Урех (страница отсутствует)'],)",Армения,,,2016,7.5
"Абраксас, хранитель Вселенной","Жанры игрового кино,Боевик (киножанр)","(['Ли, Дэмьен (страница отсутствует)'],)",,,,1991,2.9
"Абдулладжан, или Посвящается Стивену Спилбергу","Жанры игрового кино,Фантастический фильм,Комедия","(['Зульфикар Мусаков'],)",СССР,,,1991,6.9
Аббатство Даунтон: Новая эра,"Жанры игрового кино,Историческая драма","([],)","Великобритания,США",,,2022,7.4
Аббатство Даунтон,"Жанры игрового кино,Драма (жанр)","([],)",Великобритания,,,2019,7.4
Аббат Шаолиня,"Жанры игрового кино,Боевик (киножанр),Приключенческий фильм","([],)",Гонконг,,,1979,6.5
Абатуар. Лабиринт страха,"Жанры игрового кино,Фильм ужасов","(['Боусман, Даррен Линн'],)",США,,,2016,4.5
Аафат,Жанры игрового кино,"([],)",,Индия,1977,,5.3
«А чой-то ты во фраке?»,"Жанры игрового кино,Комедия,Мюзикл","(['Райхельгауз, Иосиф Леонидович'],)",,,,1993,6.6
